frame	time(s)	nformants	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)	F4(Hz)	B4(Hz)	F5(Hz)	B5(Hz)
170	0.870249	4	1459.751	915.583	2282.856	537.682	3591.101	434.027	4676.250	351.556	--undefined--	--undefined--
171	0.875249	4	1420.736	774.461	2265.106	676.924	3742.981	443.082	4702.010	360.819	--undefined--	--undefined--
172	0.880249	5	647.415	1483.143	1642.995	616.003	3030.941	1654.600	3734.742	1280.381	4592.135	659.133
173	0.885249	5	600.059	1223.444	1737.661	449.677	3394.458	643.059	3540.463	3271.058	4534.379	743.644
174	0.890249	5	624.446	747.783	1823.050	443.730	3087.774	1931.947	3667.790	686.674	4653.489	775.013
175	0.895249	5	676.063	772.893	1794.328	518.290	2889.494	1913.708	3799.045	842.808	4674.504	725.575
176	0.900249	4	739.643	1180.939	1682.980	321.220	3065.969	763.941	4313.668	484.112	--undefined--	--undefined--
177	0.905249	4	585.112	2251.338	1656.780	342.416	3066.943	675.491	4347.250	359.922	--undefined--	--undefined--
178	0.910249	4	956.528	1196.408	1724.896	684.548	3142.027	792.174	4424.757	494.839	--undefined--	--undefined--
179	0.915249	5	851.621	1194.620	1904.840	982.478	3108.542	2377.094	3495.675	1244.767	4450.620	913.856
180	0.920249	4	1476.543	943.933	2490.439	756.597	3734.403	1107.565	4135.381	1182.180	--undefined--	--undefined--
181	0.925249	4	1530.712	825.580	2576.536	563.971	3881.442	831.438	4593.145	1363.200	--undefined--	--undefined--
182	0.930249	4	1414.294	694.899	2457.992	658.716	3620.792	862.341	4668.003	639.934	--undefined--	--undefined--
183	0.935249	4	1364.269	499.453	2524.258	646.995	3652.086	957.399	4666.490	588.808	--undefined--	--undefined--
184	0.940249	5	748.700	1197.005	1460.217	765.457	2906.899	611.615	3776.970	1033.128	4742.470	586.184
185	0.945249	5	695.945	689.588	1550.973	531.097	2944.498	458.320	3841.774	647.818	4780.879	464.529
186	0.950249	5	817.296	949.684	1465.070	544.732	2928.335	745.958	3850.489	529.030	4719.588	469.529
187	0.955249	5	1132.747	1734.795	1197.106	596.449	2634.255	1063.529	3872.023	722.799	4659.815	656.265
188	0.960249	4	1139.403	466.945	2262.340	930.858	3254.439	1560.115	4359.040	574.931	--undefined--	--undefined--
189	0.965249	4	1152.579	982.894	1916.592	1000.887	3118.713	881.896	4353.061	495.057	--undefined--	--undefined--
190	0.970249	4	968.332	1067.140	1902.412	636.211	3272.480	547.645	4332.613	370.307	--undefined--	--undefined--
191	0.975249	4	728.934	624.402	1930.331	543.148	3341.631	582.833	4459.047	601.176	--undefined--	--undefined--
192	0.980249	5	676.793	601.423	1795.890	523.474	2908.087	833.371	3889.531	817.596	4810.225	651.941
193	0.985249	5	599.979	999.313	1792.377	722.771	2869.116	871.237	3865.896	1099.867	4784.648	817.921
194	0.990249	5	461.432	1046.129	1835.506	716.207	3033.256	874.480	4280.718	1945.554	4497.651	940.420
195	0.995249	5	516.688	1019.672	1857.889	694.785	3176.874	797.492	4236.657	2510.899	4384.689	652.357
196	1.000249	5	544.987	1305.567	1785.639	623.005	2929.924	801.111	3892.835	907.033	4689.871	829.925
197	1.005249	5	428.158	1245.493	1700.996	512.226	2813.018	543.997	3865.775	545.328	4828.787	469.889
198	1.010249	5	459.280	979.462	1565.418	751.040	2795.213	476.145	3914.249	378.379	4828.417	664.762
199	1.015249	5	498.162	907.530	1419.520	704.324	2830.199	474.467	3930.964	457.984	4914.646	977.509
200	1.020249	5	443.758	1353.692	1478.666	595.210	2901.246	954.171	3743.016	911.919	4788.803	987.866
201	1.025249	4	1298.339	758.227	2105.552	1064.953	3446.799	817.902	4353.501	884.170	--undefined--	--undefined--
202	1.030249	4	1075.537	961.694	2144.905	708.850	3354.719	997.060	4327.186	683.043	--undefined--	--undefined--
203	1.035249	5	682.524	923.018	1699.534	948.120	2679.514	736.711	3922.616	621.058	4870.303	1228.764
204	1.040249	5	602.270	585.734	1508.750	512.849	2826.724	473.013	3881.984	355.924	4933.816	709.845
205	1.045249	5	574.002	766.214	1455.758	314.392	2861.755	406.924	3834.496	483.500	4851.791	553.425
206	1.050249	5	693.377	1468.972	1453.352	355.958	2882.688	642.419	3802.518	1168.944	4774.266	723.948
207	1.055249	4	1343.751	705.760	2022.128	846.179	3339.436	570.026	4690.588	672.408	--undefined--	--undefined--
208	1.060249	4	1069.457	1651.538	1877.475	557.727	3291.463	435.774	4738.145	490.474	--undefined--	--undefined--
209	1.065249	4	765.879	1162.494	1839.784	425.652	3257.165	511.664	4581.843	437.958	--undefined--	--undefined--
210	1.070249	5	644.827	855.291	1914.099	854.097	2625.179	1695.688	3689.137	933.138	4624.427	497.174
211	1.075249	5	660.227	670.353	1704.099	1750.775	2453.925	723.813	3790.415	923.360	4688.248	603.799
212	1.080249	4	829.802	718.093	2171.078	839.963	3192.207	1163.289	4333.379	649.407	--undefined--	--undefined--
213	1.085249	4	844.879	619.760	1931.408	994.321	3158.798	846.146	4285.502	681.526	--undefined--	--undefined--
214	1.090249	5	734.575	579.757	1522.239	435.225	2918.874	463.195	3966.065	634.012	4705.766	979.060
215	1.095249	5	737.534	733.488	1478.286	323.954	2882.061	336.893	4022.040	376.362	4862.841	1104.116
216	1.100249	5	672.520	1207.979	1458.089	382.550	2844.870	450.321	4052.627	358.069	4962.228	1419.248
217	1.105249	5	807.693	1179.824	1652.690	730.116	2917.871	677.913	4190.521	489.580	5290.126	2910.687
218	1.110249	4	571.612	1417.284	1827.841	646.511	3077.485	564.558	4322.594	482.557	--undefined--	--undefined--
219	1.115249	5	574.227	1045.497	1869.947	572.393	3117.164	546.200	4510.419	556.011	5022.831	3650.468
220	1.120249	4	831.668	1050.717	2074.002	749.107	3338.070	667.187	4562.584	397.038	--undefined--	--undefined--
221	1.125249	4	1195.671	783.546	2560.708	941.637	3722.242	1305.725	4615.862	585.125	--undefined--	--undefined--
222	1.130249	5	466.507	847.321	1459.918	591.107	2669.581	609.682	3966.998	508.272	4758.145	573.161
223	1.135249	5	521.872	982.989	1772.959	669.554	2779.547	1518.133	3907.535	942.175	4643.709	971.007
224	1.140249	5	589.106	1302.051	1916.792	568.786	3357.173	4527.363	3446.021	1067.594	4567.836	979.392
225	1.145249	4	1077.637	1107.509	2221.439	714.631	3501.682	1043.491	4491.493	801.800	--undefined--	--undefined--
226	1.150249	4	1279.411	609.255	2320.665	551.383	3429.213	819.989	4549.512	515.103	--undefined--	--undefined--
227	1.155249	4	1285.004	851.374	2371.746	1128.369	3324.991	811.501	4624.229	521.700	--undefined--	--undefined--
228	1.160249	5	936.082	620.591	1670.949	1096.602	3020.857	711.172	3804.520	1132.677	4671.240	560.557
229	1.165249	5	846.911	903.810	1652.150	792.284	3191.661	1005.958	3479.636	1416.812	4666.175	501.405
230	1.170249	5	893.419	1181.337	1748.284	838.962	2571.500	2178.345	3441.149	555.379	4747.956	466.188
231	1.175249	5	838.213	1377.511	1573.441	816.308	2547.699	1218.392	3567.959	679.278	4753.845	428.133
232	1.180249	5	777.429	817.211	1523.017	598.791	2790.110	744.320	3748.686	779.061	4687.043	360.499
233	1.185249	5	663.246	695.766	1557.289	467.509	2896.390	793.906	3729.528	810.781	4720.073	453.610
234	1.190249	5	531.553	567.703	1703.049	354.112	2842.994	832.530	3731.626	764.263	4857.853	666.723
235	1.195249	5	539.971	623.329	1741.410	431.645	2831.950	846.833	3689.302	803.533	4869.022	688.879
236	1.200249	4	685.789	1237.068	2158.983	1073.137	3110.241	708.855	4572.553	1138.458	--undefined--	--undefined--
237	1.205249	4	1142.635	975.117	2367.746	1026.628	3127.968	790.404	4380.821	848.883	--undefined--	--undefined--
238	1.210249	5	1091.540	839.754	1104.431	3460.447	2362.639	958.163	3793.230	677.645	4794.933	923.135
239	1.215249	5	996.641	680.495	2005.680	859.686	3527.052	720.610	3538.565	6924.147	4661.609	801.945
240	1.220249	5	862.244	1027.414	1779.260	884.414	3342.305	598.175	3889.931	3241.099	4608.470	787.608
241	1.225249	5	662.297	838.204	1781.746	775.631	2897.519	699.407	3991.798	551.971	4595.682	604.898
242	1.230249	5	447.194	735.498	1771.061	677.332	2798.525	252.937	3989.350	288.918	4644.248	339.918
243	1.235249	5	466.097	911.815	1665.220	810.889	2753.025	165.737	3860.452	387.128	4599.091	157.668
244	1.240249	4	1568.657	701.315	2716.193	281.781	3763.805	481.240	4525.636	204.141	--undefined--	--undefined--
245	1.245249	4	1673.259	986.047	2714.588	328.443	3805.466	546.152	4511.703	197.126	--undefined--	--undefined--
246	1.250249	5	321.825	822.603	1944.542	509.148	2745.539	398.295	3828.420	256.374	4565.473	112.491
