frame	time(s)	nformants	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)	F4(Hz)	B4(Hz)	F5(Hz)	B5(Hz)	F6(Hz)	B6(Hz)
83	0.435249	5	298.223	49.465	2121.146	125.469	2779.721	177.265	3265.866	882.941	3622.337	212.352	--undefined--	--undefined--
84	0.440249	5	296.403	49.344	2116.519	114.694	2762.862	168.244	3217.490	546.227	3646.703	164.185	--undefined--	--undefined--
85	0.445249	5	291.742	48.668	2111.239	101.710	2752.629	159.417	3189.022	442.504	3651.455	131.921	--undefined--	--undefined--
86	0.450249	5	285.722	46.986	2107.961	93.965	2746.876	168.557	3162.319	408.637	3647.955	136.320	--undefined--	--undefined--
87	0.455249	5	280.619	39.829	2109.095	76.431	2748.911	161.543	3151.508	403.272	3645.361	130.850	--undefined--	--undefined--
88	0.460249	5	274.805	38.747	2110.471	69.776	2757.660	173.076	3132.591	449.908	3641.490	164.934	--undefined--	--undefined--
89	0.465249	5	272.629	35.943	2122.065	64.426	2773.633	155.579	3173.808	495.479	3658.679	206.751	--undefined--	--undefined--
90	0.470249	5	272.795	31.796	2126.666	68.142	2776.505	160.414	3165.869	497.711	3664.681	193.941	--undefined--	--undefined--
91	0.475249	5	272.579	32.530	2141.646	90.961	2805.477	224.557	3123.906	571.291	3669.377	274.269	--undefined--	--undefined--
92	0.480249	5	274.008	33.118	2150.746	98.217	2835.106	282.418	3175.423	519.501	3668.182	299.809	--undefined--	--undefined--
93	0.485249	5	274.853	32.094	2150.746	108.153	2917.182	484.388	3130.885	426.301	3673.202	231.492	--undefined--	--undefined--
94	0.490249	5	274.535	31.587	2138.136	107.243	2851.707	278.365	3198.680	247.028	3695.652	390.520	--undefined--	--undefined--
95	0.495249	5	275.072	29.715	2159.525	97.382	2848.555	220.713	3224.808	180.799	3769.879	855.395	--undefined--	--undefined--
96	0.500249	5	275.207	29.166	2180.394	132.236	2845.090	255.644	3229.751	244.893	3853.115	556.457	--undefined--	--undefined--
97	0.505249	5	273.887	26.686	2190.683	179.745	2865.017	287.212	3252.442	352.788	3778.315	403.878	--undefined--	--undefined--
98	0.510249	5	274.316	25.706	2206.348	161.023	2875.029	337.615	3222.862	398.244	3732.056	335.163	--undefined--	--undefined--
99	0.515249	5	273.514	25.436	2232.054	184.899	2950.001	365.852	3237.190	597.494	3708.844	453.857	--undefined--	--undefined--
100	0.520249	5	272.290	24.226	2231.420	231.432	2875.181	329.058	3223.183	287.071	3735.964	326.279	--undefined--	--undefined--
101	0.525249	5	272.149	22.450	2231.818	233.444	2866.743	293.023	3224.170	227.925	3731.361	232.557	--undefined--	--undefined--
102	0.530249	5	271.125	21.977	2243.820	216.860	2909.331	308.919	3231.753	298.051	3712.139	249.402	--undefined--	--undefined--
103	0.535249	5	271.314	25.259	2243.729	152.461	2940.020	285.830	3259.035	361.826	3717.489	257.423	--undefined--	--undefined--
