frame	time(s)	nformants	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)	F4(Hz)	B4(Hz)	F5(Hz)	B5(Hz)	F6(Hz)	B6(Hz)	F7(Hz)	B7(Hz)	F8(Hz)	B8(Hz)
61	0.325249	8	94.998	213.565	1029.984	242.619	2068.530	489.045	2799.527	91.108	3163.206	398.903	4048.328	434.490	4665.832	255.211	4925.459	1233.419
62	0.330249	8	132.486	270.869	1059.593	300.193	2132.370	869.066	2816.207	101.181	3114.747	593.767	3881.437	527.356	4600.650	351.854	4926.819	612.830
63	0.335249	8	186.159	200.189	1111.877	609.831	2163.429	556.594	2818.222	108.688	3240.257	1216.472	3833.629	575.506	4572.969	297.504	4968.198	709.832
64	0.340249	8	160.894	120.475	1169.971	593.222	2148.648	443.735	2765.555	110.145	3289.995	1135.983	3821.397	523.394	4485.305	238.851	5023.411	536.528
65	0.345249	8	159.464	92.851	1049.105	614.670	2111.056	413.929	2764.315	87.738	3251.646	840.188	3917.600	503.997	4500.990	322.152	4930.613	607.583
66	0.350249	8	168.344	173.191	902.769	785.047	2154.176	435.462	2809.462	115.359	3039.506	1273.979	3814.025	383.725	4418.415	327.032	4864.143	258.759
67	0.355249	8	149.950	189.269	831.198	753.301	2221.325	388.193	2850.930	149.273	3019.885	1324.253	3771.282	321.100	4401.169	316.479	4871.089	195.296
68	0.360249	8	102.641	244.170	827.255	580.221	2105.204	432.197	2907.074	158.382	2958.160	1168.967	3743.535	266.869	4426.079	267.300	4900.167	238.756
69	0.365249	8	59.351	290.083	832.805	524.012	2093.326	307.439	2826.068	98.087	3548.449	1483.180	3598.254	541.441	4422.089	277.682	4883.924	275.803
70	0.370249	8	136.413	161.618	919.968	544.547	2167.735	231.198	2810.364	75.946	3507.662	589.906	4036.961	1612.542	4393.788	262.534	4874.237	274.673
71	0.375249	8	121.079	139.555	1139.340	689.233	2214.978	380.353	2853.414	85.607	3611.466	563.950	3725.961	2616.421	4414.392	336.187	4844.832	209.762
72	0.380249	6	1153.315	822.750	2195.469	528.708	2852.471	99.938	3549.732	389.566	4308.428	530.758	4772.394	159.078	--undefined--	--undefined--	--undefined--	--undefined--
73	0.385249	7	531.093	737.837	1345.596	2676.858	2123.280	543.136	2804.288	112.153	3460.545	340.700	4249.496	303.535	4716.793	223.133	--undefined--	--undefined--
74	0.390249	7	270.123	495.076	1779.620	1653.692	2170.549	500.262	2832.257	99.450	3480.970	308.574	4301.694	193.466	4691.357	353.199	--undefined--	--undefined--
75	0.395249	8	169.695	107.667	880.469	872.418	2207.831	245.123	2842.790	52.502	3577.112	1762.724	3633.178	391.373	4368.820	198.435	5033.173	568.648
76	0.400249	8	144.919	178.553	737.158	631.157	2177.368	185.525	2828.376	60.165	3277.122	814.063	3714.934	367.964	4457.943	228.004	5013.060	338.084
77	0.405249	8	185.434	444.438	537.311	764.662	2147.259	199.857	2802.632	119.230	3578.674	406.259	3609.389	1303.429	4503.370	329.170	4908.969	602.556
78	0.410249	8	308.385	106.045	793.857	1222.878	2143.932	148.208	2788.139	200.289	3138.274	1254.115	3591.218	213.124	4535.435	383.847	4893.040	625.815
79	0.415249	7	320.996	114.643	2132.094	180.454	2181.557	2008.279	2800.402	303.130	3108.620	979.291	3624.637	146.254	4667.173	282.589	--undefined--	--undefined--
80	0.420249	7	327.267	85.668	2073.518	1085.163	2134.548	166.793	2801.864	214.836	3225.341	659.807	3635.226	120.307	4590.531	459.829	--undefined--	--undefined--
81	0.425249	7	330.788	72.836	2108.616	146.807	2320.560	1235.348	2823.216	217.383	3266.864	887.713	3614.794	167.601	4603.471	586.020	--undefined--	--undefined--
82	0.430249	7	329.545	72.252	2103.684	120.730	2395.878	1436.505	2793.768	211.332	3189.534	771.987	3613.885	170.082	4467.898	631.725	--undefined--	--undefined--
83	0.435249	7	322.777	83.522	2100.692	115.421	2432.561	1360.353	2769.020	195.947	3211.814	611.243	3632.530	158.523	4531.769	1175.525	--undefined--	--undefined--
84	0.440249	7	316.225	80.587	2095.342	109.602	2583.236	1177.412	2770.990	203.260	3270.458	544.239	3653.600	155.674	5045.612	2378.745	--undefined--	--undefined--
85	0.445249	6	307.632	78.133	2091.989	94.282	2722.531	1062.880	2762.066	221.947	3265.993	559.938	3658.527	142.270	--undefined--	--undefined--	--undefined--	--undefined--
86	0.450249	7	301.557	78.753	2092.504	81.868	2742.398	225.148	2806.317	1271.713	3175.393	526.021	3650.153	140.586	4815.436	2399.054	--undefined--	--undefined--
87	0.455249	7	292.882	66.122	2098.646	66.899	2689.339	1612.882	2741.153	192.203	3138.292	427.558	3641.612	124.334	4547.457	1819.912	--undefined--	--undefined--
88	0.460249	7	284.126	62.930	2104.811	59.357	2543.854	1982.528	2744.695	174.361	3119.701	377.456	3638.555	136.283	4625.324	1827.494	--undefined--	--undefined--
89	0.465249	7	279.649	56.246	2119.301	53.719	2368.170	2148.998	2759.603	139.399	3157.075	349.359	3658.870	149.012	4785.640	1867.575	--undefined--	--undefined--
90	0.470249	7	279.441	50.332	2125.034	56.902	2286.643	1982.939	2763.328	129.875	3167.054	308.522	3670.591	124.483	5459.176	1221.198	--undefined--	--undefined--
91	0.475249	7	279.283	49.065	2140.768	80.724	2150.218	1635.693	2780.464	159.709	3157.855	273.045	3690.564	136.136	5094.483	534.036	--undefined--	--undefined--
92	0.480249	7	278.595	44.536	2059.775	1717.566	2151.406	85.766	2801.311	180.805	3195.690	218.802	3692.714	127.479	5066.003	410.795	--undefined--	--undefined--
93	0.485249	7	279.875	42.816	1934.115	1731.563	2149.886	92.150	2834.651	264.651	3199.205	190.385	3687.323	106.433	5059.148	492.342	--undefined--	--undefined--
94	0.490249	7	280.869	43.861	2128.828	94.863	2271.918	2202.896	2817.808	235.483	3182.305	162.952	3674.314	219.067	5145.933	649.956	--undefined--	--undefined--
95	0.495249	7	281.070	42.195	2140.479	87.167	2717.665	1499.480	2819.222	270.695	3198.865	179.246	3697.198	485.534	5123.414	491.921	--undefined--	--undefined--
96	0.500249	8	174.131	1743.913	279.677	39.884	2150.772	105.218	2762.301	295.767	3164.212	1787.728	3170.621	224.544	3758.588	428.938	5117.004	730.135
97	0.505249	7	276.695	35.646	403.086	1771.456	2153.339	114.316	2745.666	228.487	3154.406	186.505	3678.065	242.389	4465.663	1617.166	--undefined--	--undefined--
98	0.510249	8	276.494	33.020	424.979	1783.664	2175.811	101.875	2751.154	222.734	3165.345	158.982	3690.364	153.064	3915.012	5598.540	5138.286	829.627
99	0.515249	7	275.611	32.159	401.685	1948.585	2189.711	119.388	2755.334	251.105	3167.872	156.025	3690.842	156.897	5094.178	696.578	--undefined--	--undefined--
100	0.520249	8	274.322	31.199	440.786	1645.158	2184.674	140.025	2769.230	202.856	3175.874	132.944	3677.235	172.570	4287.517	4559.662	5177.030	1100.726
101	0.525249	8	272.821	28.304	539.025	1196.317	2183.056	132.738	2781.346	188.731	3188.975	123.443	3301.119	2283.309	3692.740	136.830	5009.820	626.358
102	0.530249	8	271.890	27.580	535.628	1256.772	2197.679	120.469	2798.961	189.956	3188.688	125.836	3485.543	3043.550	3674.526	122.750	5040.128	695.784
103	0.535249	7	271.530	28.232	527.217	1621.030	2215.302	92.160	2812.036	201.905	3187.357	137.166	3665.683	125.531	4515.630	1232.394	--undefined--	--undefined--
104	0.540249	7	271.295	26.826	854.492	2009.012	2223.168	112.942	2830.912	242.614	3194.013	160.011	3670.627	140.014	4459.836	1379.947	--undefined--	--undefined--
105	0.545249	7	269.606	26.388	585.003	1772.298	2208.126	134.732	2840.054	316.006	3197.787	205.603	3714.742	260.324	4213.498	1734.052	--undefined--	--undefined--
106	0.550249	7	267.860	26.551	598.998	1114.011	2202.769	110.304	2824.177	353.281	3208.001	256.945	3764.554	368.048	4006.873	1887.444	--undefined--	--undefined--
