frame	time(s)	nformants	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)	F4(Hz)	B4(Hz)	F5(Hz)	B5(Hz)	F6(Hz)	B6(Hz)	F7(Hz)	B7(Hz)	F8(Hz)	B8(Hz)	F9(Hz)	B9(Hz)	F10(Hz)	B10(Hz)	F11(Hz)	B11(Hz)	F12(Hz)	B12(Hz)
56	0.300249	11	403.617	351.328	837.221	298.677	1486.140	404.603	2023.139	154.073	2636.572	327.836	2841.613	143.992	3216.575	806.328	3630.493	187.202	4201.190	427.333	4505.258	124.048	4885.130	201.803	--undefined--	--undefined--
57	0.305249	11	334.853	201.706	843.927	249.562	1497.495	320.061	2034.091	254.962	2604.913	220.952	2837.616	121.249	3411.359	266.214	3782.786	278.101	4449.490	252.131	4736.148	505.392	4842.359	819.531	--undefined--	--undefined--
58	0.310249	11	352.805	212.132	855.213	438.331	1468.055	483.534	2093.014	231.450	2667.395	153.219	2923.857	183.027	3438.440	298.037	3896.359	318.514	4340.597	337.901	4735.864	160.325	5433.941	713.454	--undefined--	--undefined--
59	0.315249	11	92.283	231.357	788.913	306.431	1445.284	427.254	2112.306	174.946	2729.144	132.848	2989.991	204.784	3590.840	369.254	4041.093	3207.419	4085.695	177.780	4547.285	1273.737	4713.816	78.624	--undefined--	--undefined--
60	0.320249	11	95.043	114.265	859.976	237.457	1396.582	459.579	2108.954	163.395	2746.364	83.551	2976.325	171.625	3573.231	247.925	4090.769	136.534	4445.399	10446.753	4541.577	622.145	4719.082	80.054	--undefined--	--undefined--
61	0.325249	11	100.747	183.123	855.772	407.713	1193.625	253.848	2050.390	141.769	2764.336	106.044	3016.996	404.256	3036.704	698.415	3726.222	536.030	4135.167	460.117	4507.234	348.312	4788.212	167.146	--undefined--	--undefined--
62	0.330249	11	148.519	324.482	859.374	433.304	1195.489	213.024	2012.607	160.641	2698.118	185.389	2861.640	123.097	3205.484	291.966	3745.676	197.070	4271.737	311.274	4612.480	319.618	4869.127	246.383	--undefined--	--undefined--
63	0.335249	11	279.351	195.751	947.052	438.428	1323.891	351.148	2047.578	141.467	2644.450	214.781	2860.440	127.600	3209.105	441.563	3730.181	144.963	4277.568	170.554	4656.672	136.830	5057.107	387.329	--undefined--	--undefined--
64	0.340249	11	165.664	112.003	933.173	472.581	1424.354	402.947	2103.890	171.949	2696.243	143.892	2895.908	270.223	3403.873	1028.558	3722.486	243.743	4304.951	228.825	4633.287	198.412	5157.304	259.128	--undefined--	--undefined--
65	0.345249	12	153.286	58.582	656.899	496.724	1245.617	336.190	1860.500	4582.447	2047.012	149.555	2683.557	147.894	2864.743	180.310	3556.471	392.087	3942.170	564.533	4317.203	401.491	4644.499	259.790	5135.250	384.925
66	0.350249	11	156.439	73.064	590.481	313.174	1166.928	319.876	2034.039	175.080	2555.607	1438.735	2666.737	218.372	2896.804	134.345	3670.547	164.464	4166.020	279.110	4546.296	339.550	4874.436	263.948	--undefined--	--undefined--
67	0.355249	12	149.795	159.154	478.214	897.565	921.747	486.996	1780.991	718.232	2204.078	228.088	2727.809	154.741	2974.781	133.316	3668.786	153.812	4110.097	472.983	4400.263	384.548	4841.580	207.404	5077.463	990.868
68	0.360249	11	130.241	250.576	797.260	258.136	1545.875	375.732	2152.398	145.592	2760.029	152.607	3009.062	125.879	3675.804	205.683	3879.111	677.501	4368.644	245.629	4796.658	305.883	5035.510	496.644	--undefined--	--undefined--
69	0.365249	11	112.247	236.745	776.460	225.119	1448.820	352.849	2103.446	84.897	2750.303	78.352	3004.006	160.716	3643.935	180.758	3935.718	1014.325	4362.684	148.627	4801.237	158.480	5282.006	849.241	--undefined--	--undefined--
70	0.370249	11	134.390	86.226	669.206	386.493	1232.042	442.471	1615.185	2615.551	2137.891	93.294	2754.950	107.545	2961.327	265.883	3631.772	436.092	3866.226	546.530	4387.060	92.899	4815.566	103.598	--undefined--	--undefined--
71	0.375249	11	126.835	105.757	807.444	290.262	1444.656	189.977	2162.987	106.410	2729.820	294.268	2876.814	137.499	3401.977	509.160	3798.895	368.299	4420.220	203.532	4443.623	993.374	4840.321	108.513	--undefined--	--undefined--
72	0.380249	11	231.424	241.058	853.732	203.848	1470.264	162.732	2134.409	130.190	2717.011	276.318	2887.924	145.269	3531.053	352.320	3626.801	781.829	4188.077	411.058	4600.307	355.290	4816.085	151.607	--undefined--	--undefined--
73	0.385249	11	308.770	321.370	830.072	293.683	1566.009	439.173	2098.692	229.161	2715.450	202.212	2892.664	230.345	3471.790	245.773	3880.697	559.480	4303.227	166.619	4724.328	109.373	5334.165	778.881	--undefined--	--undefined--
74	0.390249	11	178.926	137.830	751.641	266.463	1716.983	424.830	2138.368	379.386	2651.941	479.632	2856.975	123.950	3481.936	280.294	3777.404	838.332	4311.419	125.599	4714.129	202.802	4800.027	1771.000	--undefined--	--undefined--
75	0.395249	11	173.183	63.287	798.171	198.052	1574.078	611.833	2129.053	174.135	2626.153	391.771	2859.265	72.520	3237.157	665.374	3660.060	136.757	4261.082	190.806	4474.986	331.195	4913.184	269.503	--undefined--	--undefined--
76	0.400249	11	146.168	91.812	685.006	339.164	1214.767	862.086	2114.297	128.379	2577.540	499.189	2836.683	78.265	3158.649	474.902	3650.131	143.760	4193.105	311.466	4521.774	215.636	4960.141	216.746	--undefined--	--undefined--
77	0.405249	11	341.449	209.194	774.497	536.815	1339.305	757.737	2107.702	152.883	2474.438	474.515	2814.532	91.897	3284.295	340.438	3646.551	193.043	4151.953	286.813	4544.016	137.933	4934.153	203.622	--undefined--	--undefined--
78	0.410249	11	329.899	51.722	863.612	275.439	1601.320	650.078	2110.921	135.165	2434.930	352.922	2817.647	110.442	3278.992	320.592	3614.548	134.791	4119.763	424.155	4546.338	206.362	4902.107	244.061	--undefined--	--undefined--
79	0.415249	11	320.522	105.612	801.296	945.683	1808.475	841.681	2135.697	169.402	2585.854	579.790	2845.022	242.954	3355.898	452.584	3649.213	126.752	3719.946	6541.118	4465.841	522.163	4766.628	330.987	--undefined--	--undefined--
80	0.420249	11	307.902	117.097	381.431	455.840	1372.590	964.650	2015.854	814.067	2131.575	151.789	2649.368	531.953	2854.813	224.443	3362.202	423.589	3644.473	116.585	4194.998	757.875	4678.806	321.842	--undefined--	--undefined--
81	0.425249	11	321.306	106.794	363.349	433.252	1428.732	803.473	2108.354	142.473	2211.021	776.392	2777.516	601.073	2838.746	241.800	3375.034	402.441	3640.893	127.988	4290.081	391.878	4820.377	358.934	--undefined--	--undefined--
82	0.430249	11	323.093	108.306	342.931	430.452	1415.459	831.863	2107.029	131.557	2174.038	673.752	2749.488	246.506	2907.959	347.372	3383.096	299.467	3655.389	109.014	4282.059	217.742	4898.715	338.036	--undefined--	--undefined--
83	0.435249	11	305.139	124.718	369.428	417.323	1466.130	793.426	2097.434	128.211	2232.260	548.057	2726.012	168.471	2957.004	280.804	3385.385	221.997	3665.340	79.046	4249.926	212.082	4983.856	279.417	--undefined--	--undefined--
84	0.440249	11	288.672	112.997	409.637	354.101	1525.153	655.745	2094.315	108.093	2305.832	541.303	2733.110	150.159	2991.581	281.823	3390.061	230.272	3669.885	82.814	4211.951	286.419	5043.742	298.304	--undefined--	--undefined--
85	0.445249	11	275.433	88.580	451.891	324.044	1583.216	585.171	2094.139	86.319	2379.152	543.256	2738.346	149.233	3014.749	287.695	3392.793	250.730	3670.127	78.185	4211.476	290.708	5118.093	329.556	--undefined--	--undefined--
86	0.450249	11	265.047	72.077	477.631	286.882	1629.787	589.836	2097.126	74.163	2450.399	617.897	2739.901	173.521	3040.133	345.143	3371.330	355.609	3660.722	90.540	4229.794	345.424	5133.952	417.263	--undefined--	--undefined--
87	0.455249	11	263.078	56.886	478.142	289.401	1586.065	651.080	2099.418	62.726	2397.468	680.066	2735.538	165.106	3012.713	362.018	3323.766	340.953	3650.680	73.509	4210.900	314.032	5076.547	388.865	--undefined--	--undefined--
88	0.460249	11	257.707	49.753	482.818	289.592	1493.414	658.485	2103.032	61.749	2271.232	646.772	2726.129	151.067	2969.602	301.212	3293.225	265.875	3646.999	65.603	4193.058	259.516	5006.891	281.342	--undefined--	--undefined--
89	0.465249	11	254.215	38.045	485.830	241.357	1401.928	708.833	2061.519	537.987	2128.423	67.852	2727.762	128.406	2932.289	298.494	3260.841	217.641	3652.211	70.473	4157.309	310.027	5026.493	395.007	--undefined--	--undefined--
90	0.470249	11	255.506	33.082	481.465	228.161	1358.282	669.529	2044.007	442.266	2138.579	75.767	2730.693	123.769	2923.539	295.470	3248.872	187.435	3658.433	58.079	4144.440	308.612	5028.897	346.971	--undefined--	--undefined--
91	0.475249	11	255.440	31.540	479.574	225.261	1333.728	622.660	2029.334	397.129	2162.085	99.171	2739.746	172.662	2917.171	322.045	3224.172	196.009	3673.701	74.526	4164.916	396.235	5019.868	262.507	--undefined--	--undefined--
92	0.480249	12	257.134	28.057	480.061	217.540	1319.712	577.497	2013.733	436.715	2171.801	97.181	2769.831	164.823	3024.330	614.282	3199.155	254.741	3689.855	130.143	3898.679	1031.647	4850.650	852.890	5121.468	426.497
93	0.485249	11	258.107	26.225	479.001	206.767	1318.806	581.348	2005.646	391.870	2178.748	106.131	2790.393	193.939	3161.380	671.569	3183.543	204.220	3682.301	101.774	4091.035	946.106	4999.719	428.735	--undefined--	--undefined--
94	0.490249	11	257.497	24.176	486.451	192.435	1322.076	767.853	2014.840	372.193	2166.098	135.959	2781.364	193.609	3025.051	422.001	3209.779	150.384	3654.650	118.604	4194.471	431.513	5022.522	326.015	--undefined--	--undefined--
95	0.495249	11	258.362	22.621	484.367	184.046	1257.210	920.525	2024.981	413.738	2169.870	135.798	2809.678	560.461	2833.238	228.322	3197.265	104.036	3595.667	212.856	4154.899	437.260	4999.640	307.822	--undefined--	--undefined--
96	0.500249	11	258.660	21.694	479.394	180.744	1240.039	863.584	2015.203	472.959	2178.585	156.496	2694.448	386.307	2890.590	232.281	3212.430	90.986	3666.519	109.274	4190.945	206.341	4965.623	208.484	--undefined--	--undefined--
97	0.505249	11	258.839	20.546	475.764	185.913	1280.640	741.397	1985.165	663.341	2169.007	138.284	2688.302	310.258	2905.636	253.546	3219.283	93.881	3665.194	57.394	4193.585	150.966	4974.685	217.215	--undefined--	--undefined--
98	0.510249	11	259.736	20.015	466.561	190.099	1201.074	655.768	1952.988	571.686	2190.050	112.885	2664.812	290.144	2911.495	218.088	3221.434	80.294	3675.807	44.812	4196.116	228.015	4975.534	207.970	--undefined--	--undefined--
99	0.515249	11	258.908	19.481	459.318	187.440	1130.731	596.055	1905.665	477.288	2207.624	118.743	2635.920	289.017	2925.776	191.329	3228.914	84.041	3684.089	56.120	4210.238	393.790	4946.064	330.164	--undefined--	--undefined--
100	0.520249	11	259.097	19.604	465.261	206.445	1161.958	668.289	1980.679	512.765	2208.695	167.800	2701.998	237.073	2969.679	241.814	3237.341	97.263	3680.637	63.677	4238.485	393.690	4926.349	377.127	--undefined--	--undefined--
101	0.525249	11	260.207	19.201	464.384	218.034	1192.145	706.924	2005.149	634.667	2199.723	149.691	2725.556	198.724	2994.945	252.595	3242.403	93.264	3684.999	51.524	4209.880	345.797	4944.433	283.992	--undefined--	--undefined--
